time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
01/01/2019 00.00,01/01/2019 01.00,0,0,0,7.73
01/01/2019 01.00,01/01/2019 02.00,0,0,0,7.904
01/01/2019 02.00,01/01/2019 03.00,0,0,0,7.37
01/01/2019 03.00,01/01/2019 04.00,0,0,0,6.42
01/01/2019 04.00,01/01/2019 05.00,0,0,0,6.094
01/01/2019 05.00,01/01/2019 06.00,0,0,0,6.02
01/01/2019 06.00,01/01/2019 07.00,0,0,0,6.033
01/01/2019 07.00,01/01/2019 08.00,0,0,0,6.163
01/01/2019 08.00,01/01/2019 09.00,0.002,0.007,0.011,5.879
01/01/2019 09.00,01/01/2019 10.00,0.054,0.031,0.045,5.626
01/01/2019 10.00,01/01/2019 11.00,0.14,0.091,0.074,5.371
01/01/2019 11.00,01/01/2019 12.00,0.15,0.095,0.079,5.141
01/01/2019 12.00,01/01/2019 13.00,0.115,0.07,0.069,4.95
01/01/2019 13.00,01/01/2019 14.00,0.054,0.034,0.042,4.636
01/01/2019 14.00,01/01/2019 15.00,0,0.007,0.008,4.311
01/01/2019 15.00,01/01/2019 16.00,0,0,0,4.349
01/01/2019 16.00,01/01/2019 17.00,0,0,0,4.813
01/01/2019 17.00,01/01/2019 18.00,0,0,0,5.344
01/01/2019 18.00,01/01/2019 19.00,0,0,0,5.665
01/01/2019 19.00,01/01/2019 20.00,0,0,0,5.519
01/01/2019 20.00,01/01/2019 21.00,0,0,0,5.137
01/01/2019 21.00,01/01/2019 22.00,0,0,0,4.755
01/01/2019 22.00,01/01/2019 23.00,0,0,0,4.359
01/01/2019 23.00,02/01/2019 00.00,0,0,0,4.033
02/01/2019 00.00,02/01/2019 01.00,0,0,0,3.74
02/01/2019 01.00,02/01/2019 02.00,0,0,0,3.492
02/01/2019 02.00,02/01/2019 03.00,0,0,0,3.239
02/01/2019 03.00,02/01/2019 04.00,0,0,0,3.123
02/01/2019 04.00,02/01/2019 05.00,0,0,0,2.991
