time,local_time,electricity,wind_speed
01/01/2019 00.00,01/01/2019 01.00,0.987,15.974
01/01/2019 01.00,01/01/2019 02.00,0.991,16.769
01/01/2019 02.00,01/01/2019 03.00,0.991,17.443
01/01/2019 03.00,01/01/2019 04.00,0.985,18.393
01/01/2019 04.00,01/01/2019 05.00,0.97,19.349
01/01/2019 05.00,01/01/2019 06.00,0.949,20.104
01/01/2019 06.00,01/01/2019 07.00,0.943,20.256
01/01/2019 07.00,01/01/2019 08.00,0.922,20.754
01/01/2019 08.00,01/01/2019 09.00,0.906,21.062
01/01/2019 09.00,01/01/2019 10.00,0.901,21.153
01/01/2019 10.00,01/01/2019 11.00,0.903,21.113
01/01/2019 11.00,01/01/2019 12.00,0.896,21.223
01/01/2019 12.00,01/01/2019 13.00,0.887,21.384
01/01/2019 13.00,01/01/2019 14.00,0.874,21.578
01/01/2019 14.00,01/01/2019 15.00,0.893,21.283
01/01/2019 15.00,01/01/2019 16.00,0.935,20.468
01/01/2019 16.00,01/01/2019 17.00,0.97,19.347
01/01/2019 17.00,01/01/2019 18.00,0.986,18.287
01/01/2019 18.00,01/01/2019 19.00,0.991,17.516
01/01/2019 19.00,01/01/2019 20.00,0.991,17.154
01/01/2019 20.00,01/01/2019 21.00,0.991,16.842
01/01/2019 21.00,01/01/2019 22.00,0.99,16.544
01/01/2019 22.00,01/01/2019 23.00,0.989,16.321
01/01/2019 23.00,02/01/2019 00.00,0.988,16.024
02/01/2019 00.00,02/01/2019 01.00,0.983,15.474
02/01/2019 01.00,02/01/2019 02.00,0.978,15.025
02/01/2019 02.00,02/01/2019 03.00,0.971,14.603
02/01/2019 03.00,02/01/2019 04.00,0.967,14.372
02/01/2019 04.00,02/01/2019 05.00,0.955,13.851
02/01/2019 05.00,02/01/2019 06.00,0.937,13.224
02/01/2019 06.00,02/01/2019 07.00,0.91,12.533
02/01/2019 07.00,02/01/2019 08.00,0.866,11.686
02/01/2019 08.00,02/01/2019 09.00,0.823,11.05
02/01/2019 09.00,02/01/2019 10.00,0.746,10.182
02/01/2019 10.00,02/01/2019 11.00,0.661,9.407
02/01/2019 11.00,02/01/2019 12.00,0.612,9.008
02/01/2019 12.00,02/01/2019 13.00,0.568,8.676
02/01/2019 13.00,02/01/2019 14.00,0.55,8.541
