"# Renewables.ninja PV (country zones, hourly, 1980 - 2024) - DK - ninja-pv-countryzones-DK-hourly-merra2.csv.gz - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060",,,,,
"# Units: time in UTC, other columns are bias-corrected capacity factors [0-1].",,,,,
"# {'units': {'time': 'UTC', 'DK01': 'bias-corrected capacity factor [0-1]', 'DK02': 'bias-corrected capacity factor [0-1]', 'DK03': 'bias-corrected capacity factor [0-1]', 'DK04': 'bias-corrected capacity factor [0-1]', 'DK05': 'bias-corrected capacity factor [0-1]'}, 'country': 'DK', 'filename': 'ninja-pv-countryzones-DK-hourly-merra2.csv.gz', 'version': '1.4', 'license': 'https://creativecommons.org/licenses/by-nc/4.0/', 'reference': 'https://doi.org/10.1016/j.energy.2016.08.060'}",,,,,
time,DK01,DK02,DK03,DK04,DK05
1980-01-01 00:00:00+00:00,0,0,0,0,0
1980-01-01 01:00:00+00:00,0,0,0,0,0
1980-01-01 02:00:00+00:00,0,0,0,0,0
1980-01-01 03:00:00+00:00,0,0,0,0,0
1980-01-01 04:00:00+00:00,0,0,0,0,0
1980-01-01 05:00:00+00:00,0,0,0,0,0
1980-01-01 06:00:00+00:00,0,0,0,0,0
1980-01-01 07:00:00+00:00,0,0,0,0,0
1980-01-01 08:00:00+00:00,0.012,0.016,0.022,0.01,0.003
1980-01-01 09:00:00+00:00,0.046,0.059,0.078,0.048,0.026
1980-01-01 10:00:00+00:00,0.076,0.099,0.118,0.077,0.048
1980-01-01 11:00:00+00:00,0.086,0.111,0.128,0.084,0.058
1980-01-01 12:00:00+00:00,0.069,0.092,0.102,0.066,0.049
1980-01-01 13:00:00+00:00,0.03,0.043,0.05,0.032,0.023
1980-01-01 14:00:00+00:00,0,0.003,0.005,0.002,0
1980-01-01 15:00:00+00:00,0,0,0,0,0
1980-01-01 16:00:00+00:00,0,0,0,0,0
1980-01-01 17:00:00+00:00,0,0,0,0,0
1980-01-01 18:00:00+00:00,0,0,0,0,0
1980-01-01 19:00:00+00:00,0,0,0,0,0
1980-01-01 20:00:00+00:00,0,0,0,0,0
1980-01-01 21:00:00+00:00,0,0,0,0,0
1980-01-01 22:00:00+00:00,0,0,0,0,0
1980-01-01 23:00:00+00:00,0,0,0,0,0
1980-01-02 00:00:00+00:00,0,0,0,0,0
1980-01-02 01:00:00+00:00,0,0,0,0,0
1980-01-02 02:00:00+00:00,0,0,0,0,0
1980-01-02 03:00:00+00:00,0,0,0,0,0
1980-01-02 04:00:00+00:00,0,0,0,0,0
1980-01-02 05:00:00+00:00,0,0,0,0,0
1980-01-02 06:00:00+00:00,0,0,0,0,0
1980-01-02 07:00:00+00:00,0,0,0,0,0
1980-01-02 08:00:00+00:00,0.037,0.061,0.042,0.026,0.012
1980-01-02 09:00:00+00:00,0.095,0.164,0.139,0.099,0.054
1980-01-02 10:00:00+00:00,0.14,0.228,0.204,0.155,0.094
1980-01-02 11:00:00+00:00,0.157,0.226,0.224,0.17,0.121
