Price,Type,Year
-46.81078100321371,Electricity Export,2021
-43.30078200321371,Electricity Export,2021
-41.54078000321371,Electricity Export,2021
-39.010781003213715,Electricity Export,2021
-38.82078300321371,Electricity Export,2021
-38.25078300321371,Electricity Export,2021
-38.710782003213716,Electricity Export,2021
-39.890782003213715,Electricity Export,2021
-43.50078300321371,Electricity Export,2021
-43.62078200321371,Electricity Export,2021
-45.82078300321371,Electricity Export,2021
-49.40078100321371,Electricity Export,2021
-44.11078400321371,Electricity Export,2021
-43.35078200321371,Electricity Export,2021
-45.210782003213716,Electricity Export,2021
-51.61078400321371,Electricity Export,2021
-58.880780003213715,Electricity Export,2021
-59.23078300321371,Electricity Export,2021
-58.98078300321371,Electricity Export,2021
-56.02078400321371,Electricity Export,2021
-52.48078300321371,Electricity Export,2021
-52.07078300321371,Electricity Export,2021
-48.340783003213716,Electricity Export,2021
-45.31078100321371,Electricity Export,2021
-41.05078200321371,Electricity Export,2021
-39.710782003213716,Electricity Export,2021
-38.62078200321371,Electricity Export,2021
-36.17078100321371,Electricity Export,2021
-37.62078200321371,Electricity Export,2021
-40.710782003213716,Electricity Export,2021
-43.580781003213716,Electricity Export,2021
-47.07078300321371,Electricity Export,2021
-50.62078200321371,Electricity Export,2021
-50.62078200321371,Electricity Export,2021
-50.77078400321371,Electricity Export,2021
-54.57078300321371,Electricity Export,2021
-50.62078200321371,Electricity Export,2021
-49.31078100321371,Electricity Export,2021
-52.07078300321371,Electricity Export,2021
-58.61078400321371,Electricity Export,2021
-60.62078200321371,Electricity Export,2021
-61.70078400321371,Electricity Export,2021
-60.79078000321371,Electricity Export,2021
-58.65078100321371,Electricity Export,2021
-53.65078100321371,Electricity Export,2021
-50.87078200321371,Electricity Export,2021
-47.07078300321371,Electricity Export,2021
-44.73078300321371,Electricity Export,2021
-40.210782003213716,Electricity Export,2021
-35.830781003213716,Electricity Export,2021
-33.80078200321371,Electricity Export,2021
-23.27078200321371,Electricity Export,2021
-22.470782003213714,Electricity Export,2021
-22.670781003213712,Electricity Export,2021
-23.420781003213712,Electricity Export,2021
-23.590781003213714,Electricity Export,2021
-24.27078200321371,Electricity Export,2021
-24.620782003213712,Electricity Export,2021
-24.690782003213712,Electricity Export,2021
-24.49078300321371,Electricity Export,2021
-24.45078200321371,Electricity Export,2021
-24.64078200321371,Electricity Export,2021
-25.120782003213712,Electricity Export,2021
-26.670781003213712,Electricity Export,2021
-27.15078300321371,Electricity Export,2021
-26.790782003213714,Electricity Export,2021
-26.540782003213714,Electricity Export,2021
-26.180781003213713,Electricity Export,2021
-25.660783003213712,Electricity Export,2021
-24.800782003213712,Electricity Export,2021
-23.540782003213714,Electricity Export,2021
-23.280782003213712,Electricity Export,2021
-22.670781003213712,Electricity Export,2021
-22.500781003213714,Electricity Export,2021
-22.65078300321371,Electricity Export,2021
-23.20078200321371,Electricity Export,2021
-24.460782003213712,Electricity Export,2021
-26.830781003213712,Electricity Export,2021
-29.470782003213714,Electricity Export,2021
-47.82078300321371,Electricity Export,2021
-48.640782003213715,Electricity Export,2021
-54.02078400321371,Electricity Export,2021
-55.15078100321371,Electricity Export,2021
-50.69078200321371,Electricity Export,2021
-55.15078100321371,Electricity Export,2021
-56.61078400321371,Electricity Export,2021
-56.65078100321371,Electricity Export,2021
-59.12078200321371,Electricity Export,2021
-63.84078300321371,Electricity Export,2021
-58.67078100321371,Electricity Export,2021
-52.35078200321371,Electricity Export,2021
-36.30078200321371,Electricity Export,2021
-33.44078200321371,Electricity Export,2021
-29.570783003213712,Electricity Export,2021
-25.970782003213714,Electricity Export,2021
-26.430781003213713,Electricity Export,2021
-26.070783003213712,Electricity Export,2021
-25.70078200321371,Electricity Export,2021
-25.76078100321371,Electricity Export,2021
-26.410783003213712,Electricity Export,2021
-28.430781003213713,Electricity Export,2021
-34.40078100321371,Electricity Export,2021
-52.260781003213715,Electricity Export,2021
-58.62078200321371,Electricity Export,2021
-58.74078100321371,Electricity Export,2021
-59.80078200321371,Electricity Export,2021
-61.080781003213716,Electricity Export,2021
-60.10078200321371,Electricity Export,2021
-60.91078300321371,Electricity Export,2021
-60.510781003213715,Electricity Export,2021
-61.130780003213715,Electricity Export,2021
-62.88078400321371,Electricity Export,2021
-64.2207800032137,Electricity Export,2021
-58.75078300321371,Electricity Export,2021
-53.28078200321371,Electricity Export,2021
-39.40078100321371,Electricity Export,2021
-38.22078000321371,Electricity Export,2021
-30.680783003213712,Electricity Export,2021
-27.830781003213712,Electricity Export,2021
-28.45078200321371,Electricity Export,2021
-27.340781003213714,Electricity Export,2021
-26.730783003213713,Electricity Export,2021
-26.600782003213713,Electricity Export,2021
-26.780782003213712,Electricity Export,2021
-27.620782003213712,Electricity Export,2021
-29.340781003213714,Electricity Export,2021
-34.16078300321371,Electricity Export,2021
-37.80078200321371,Electricity Export,2021
-40.50078300321371,Electricity Export,2021
-44.69078200321371,Electricity Export,2021
-43.890782003213715,Electricity Export,2021
-44.830781003213716,Electricity Export,2021
-45.97078000321371,Electricity Export,2021
-49.93078300321371,Electricity Export,2021
-53.52078400321371,Electricity Export,2021
-57.02078400321371,Electricity Export,2021
-58.55078200321371,Electricity Export,2021
-54.29078000321371,Electricity Export,2021
-48.87078200321371,Electricity Export,2021
-38.460782003213716,Electricity Export,2021
-38.55078200321371,Electricity Export,2021
-37.32078300321371,Electricity Export,2021
-31.120782003213712,Electricity Export,2021
-41.70078400321371,Electricity Export,2021
-39.52078400321371,Electricity Export,2021
-37.81078100321371,Electricity Export,2021
-38.40078100321371,Electricity Export,2021
-39.90078100321371,Electricity Export,2021
-44.16078300321371,Electricity Export,2021
-54.590783003213716,Electricity Export,2021
-66.42078500321371,Electricity Export,2021
-83.05078200321371,Electricity Export,2021
-82.4807830032137,Electricity Export,2021
-81.06078400321371,Electricity Export,2021
-84.6107800032137,Electricity Export,2021
-83.3307810032137,Electricity Export,2021
-80.91078300321371,Electricity Export,2021
-77.2407850032137,Electricity Export,2021
-80.1907820032137,Electricity Export,2021
-88.30078200321371,Electricity Export,2021
-98.5307860032137,Electricity Export,2021
-83.2407850032137,Electricity Export,2021
-76.41078300321371,Electricity Export,2021
-63.82077900321371,Electricity Export,2021
-57.95078400321371,Electricity Export,2021
-56.880780003213715,Electricity Export,2021
-50.87078200321371,Electricity Export,2021
-47.93078300321371,Electricity Export,2021
-46.00078300321371,Electricity Export,2021
-44.40078100321371,Electricity Export,2021
-43.130780003213715,Electricity Export,2021
-44.31078100321371,Electricity Export,2021
-48.95078400321371,Electricity Export,2021
-58.330781003213716,Electricity Export,2021
-78.1807800032137,Electricity Export,2021
-102.16078300321371,Electricity Export,2021
-106.42078500321371,Electricity Export,2021
-105.9407820032137,Electricity Export,2021
-102.8807840032137,Electricity Export,2021
-98.5307860032137,Electricity Export,2021
-93.89077900321371,Electricity Export,2021
-91.3407830032137,Electricity Export,2021
-94.04078000321371,Electricity Export,2021
-93.6207820032137,Electricity Export,2021
-108.6207820032137,Electricity Export,2021
-98.5707790032137,Electricity Export,2021
-78.7407850032137,Electricity Export,2021
-62.86078000321371,Electricity Export,2021
-58.05078200321371,Electricity Export,2021
-54.840783003213716,Electricity Export,2021
-50.37078200321371,Electricity Export,2021
-49.29078000321371,Electricity Export,2021
-47.22078000321371,Electricity Export,2021
-46.640782003213715,Electricity Export,2021
-47.87078200321371,Electricity Export,2021
-48.25078300321371,Electricity Export,2021
-46.390782003213715,Electricity Export,2021
-48.19078200321371,Electricity Export,2021
-52.44078200321371,Electricity Export,2021
-58.42078100321371,Electricity Export,2021
-65.54078000321371,Electricity Export,2021
-66.3307810032137,Electricity Export,2021
-66.6207820032137,Electricity Export,2021
-65.6307840032137,Electricity Export,2021
-61.15078100321371,Electricity Export,2021
-58.62078200321371,Electricity Export,2021
-58.62078200321371,Electricity Export,2021
-61.40078100321371,Electricity Export,2021
-68.54078000321371,Electricity Export,2021
-70.6107800032137,Electricity Export,2021
-67.5707790032137,Electricity Export,2021
-61.28078200321371,Electricity Export,2021
-52.47078000321371,Electricity Export,2021
-52.75078300321371,Electricity Export,2021
-43.55078200321371,Electricity Export,2021
-37.460782003213716,Electricity Export,2021
-34.590783003213716,Electricity Export,2021
-32.97078000321371,Electricity Export,2021
-32.49078100321371,Electricity Export,2021
-32.460782003213716,Electricity Export,2021
-32.830781003213716,Electricity Export,2021
-32.65078100321371,Electricity Export,2021
-36.23078300321371,Electricity Export,2021
-37.710782003213716,Electricity Export,2021
-39.380780003213715,Electricity Export,2021
-42.78078200321371,Electricity Export,2021
-44.86078400321371,Electricity Export,2021
-43.380780003213715,Electricity Export,2021
-42.960782003213716,Electricity Export,2021
-44.07078300321371,Electricity Export,2021
-46.65078100321371,Electricity Export,2021
-54.49078100321371,Electricity Export,2021
-60.710782003213716,Electricity Export,2021
-62.03078200321371,Electricity Export,2021
-53.86078400321371,Electricity Export,2021
-46.67078100321371,Electricity Export,2021
-43.11078400321371,Electricity Export,2021
-38.69078200321371,Electricity Export,2021
-34.50078300321371,Electricity Export,2021
-43.52078400321371,Electricity Export,2021
-38.210782003213716,Electricity Export,2021
-36.40078100321371,Electricity Export,2021
-34.05078200321371,Electricity Export,2021
-35.91078300321371,Electricity Export,2021
-40.03078200321371,Electricity Export,2021
-41.40078100321371,Electricity Export,2021
-48.960782003213716,Electricity Export,2021
-55.87078200321371,Electricity Export,2021
-48.24078100321371,Electricity Export,2021
-46.19078200321371,Electricity Export,2021
-43.260781003213715,Electricity Export,2021
-41.95078400321371,Electricity Export,2021
-41.23078300321371,Electricity Export,2021
-40.67078100321371,Electricity Export,2021
-40.93078300321371,Electricity Export,2021
-41.90078100321371,Electricity Export,2021
-43.60078200321371,Electricity Export,2021
-41.55078200321371,Electricity Export,2021
-38.330781003213716,Electricity Export,2021
-35.73078300321371,Electricity Export,2021
-32.86078400321371,Electricity Export,2021
-32.630780003213715,Electricity Export,2021
-26.01078100321371,Electricity Export,2021
-17.580781003213712,Electricity Export,2021
-14.440782003213712,Electricity Export,2021
-17.620782003213712,Electricity Export,2021
-22.76078100321371,Electricity Export,2021
-25.620782003213712,Electricity Export,2021
-34.56078100321371,Electricity Export,2021
-39.580781003213716,Electricity Export,2021
-53.130780003213715,Electricity Export,2021
-59.260781003213715,Electricity Export,2021
-53.580781003213716,Electricity Export,2021
-55.12078200321371,Electricity Export,2021
-53.960782003213716,Electricity Export,2021
-48.72078000321371,Electricity Export,2021
-46.67078100321371,Electricity Export,2021
-46.66078300321371,Electricity Export,2021
-50.630780003213715,Electricity Export,2021
-59.68078300321371,Electricity Export,2021
-62.74078500321371,Electricity Export,2021
-59.02078400321371,Electricity Export,2021
-49.07078300321371,Electricity Export,2021
-40.41078300321371,Electricity Export,2021
-39.330781003213716,Electricity Export,2021
-36.37078200321371,Electricity Export,2021
-33.24078100321371,Electricity Export,2021
-31.65078100321371,Electricity Export,2021
-31.050782003213712,Electricity Export,2021
-30.20078200321371,Electricity Export,2021
-29.460782003213712,Electricity Export,2021
-30.300782003213712,Electricity Export,2021
-35.43078300321371,Electricity Export,2021
-40.49078100321371,Electricity Export,2021
-44.830781003213716,Electricity Export,2021
-54.760781003213715,Electricity Export,2021
-46.330781003213716,Electricity Export,2021
-44.85078200321371,Electricity Export,2021
-42.44078200321371,Electricity Export,2021
-39.840783003213716,Electricity Export,2021
-38.66078300321371,Electricity Export,2021
-38.090783003213716,Electricity Export,2021
-39.79078000321371,Electricity Export,2021
-44.53078200321371,Electricity Export,2021
-54.11078400321371,Electricity Export,2021
-53.130780003213715,Electricity Export,2021
-46.72078000321371,Electricity Export,2021
-45.760781003213715,Electricity Export,2021
-39.50078300321371,Electricity Export,2021
-38.640782003213715,Electricity Export,2021
-36.65078100321371,Electricity Export,2021
-35.92078100321371,Electricity Export,2021
-35.53078200321371,Electricity Export,2021
-35.60078200321371,Electricity Export,2021
-38.06078100321371,Electricity Export,2021
-40.78078200321371,Electricity Export,2021
-43.960782003213716,Electricity Export,2021
-57.22078000321371,Electricity Export,2021
-78.5207840032137,Electricity Export,2021
-87.4407820032137,Electricity Export,2021
-87.89077900321371,Electricity Export,2021
-88.25077900321371,Electricity Export,2021
-89.67078500321371,Electricity Export,2021
-87.3707820032137,Electricity Export,2021
-85.7207800032137,Electricity Export,2021
-82.6007850032137,Electricity Export,2021
-78.5807810032137,Electricity Export,2021
-82.04078000321371,Electricity Export,2021
-99.29078000321371,Electricity Export,2021
-88.7807860032137,Electricity Export,2021
-86.3207790032137,Electricity Export,2021
-73.2007840032137,Electricity Export,2021
-61.36078400321371,Electricity Export,2021
-58.44078200321371,Electricity Export,2021
-54.22078000321371,Electricity Export,2021
-47.60078200321371,Electricity Export,2021
-47.28078200321371,Electricity Export,2021
-46.32078300321371,Electricity Export,2021
-45.22078000321371,Electricity Export,2021
-46.62078200321371,Electricity Export,2021
-50.140782003213715,Electricity Export,2021
-61.590783003213716,Electricity Export,2021
-76.56078400321371,Electricity Export,2021
-92.6907820032137,Electricity Export,2021
-96.3807840032137,Electricity Export,2021
-89.31078400321371,Electricity Export,2021
-85.5907830032137,Electricity Export,2021
-77.8707820032137,Electricity Export,2021
-75.26078100321371,Electricity Export,2021
-75.76078100321371,Electricity Export,2021
-75.6007850032137,Electricity Export,2021
-80.6207820032137,Electricity Export,2021
-98.1207820032137,Electricity Export,2021
-96.64077900321371,Electricity Export,2021
-93.6307840032137,Electricity Export,2021
-75.8207790032137,Electricity Export,2021
-65.80078200321371,Electricity Export,2021
-61.81078100321371,Electricity Export,2021
-54.04078000321371,Electricity Export,2021
-51.710782003213716,Electricity Export,2021
-50.27078400321371,Electricity Export,2021
-48.50078300321371,Electricity Export,2021
-48.460782003213716,Electricity Export,2021
-48.130780003213715,Electricity Export,2021
-47.140782003213715,Electricity Export,2021
-47.36078400321371,Electricity Export,2021
-50.05078200321371,Electricity Export,2021
-58.62078200321371,Electricity Export,2021
-62.580781003213716,Electricity Export,2021
-60.41078300321371,Electricity Export,2021
-60.75078300321371,Electricity Export,2021
-53.630780003213715,Electricity Export,2021
-49.28078200321371,Electricity Export,2021
-48.10078200321371,Electricity Export,2021
-49.27078400321371,Electricity Export,2021
-56.32078300321371,Electricity Export,2021
-63.63078400321371,Electricity Export,2021
-65.0207840032137,Electricity Export,2021
-62.380780003213715,Electricity Export,2021
-56.090783003213716,Electricity Export,2021
-51.60078200321371,Electricity Export,2021
-51.82078300321371,Electricity Export,2021
-46.79078000321371,Electricity Export,2021
-45.11078400321371,Electricity Export,2021
-43.44078200321371,Electricity Export,2021
-43.61078400321371,Electricity Export,2021
-44.16078300321371,Electricity Export,2021
-44.42078100321371,Electricity Export,2021
-44.04078000321371,Electricity Export,2021
-44.32078300321371,Electricity Export,2021
-45.12078200321371,Electricity Export,2021
-46.02078400321371,Electricity Export,2021
