date,indeks,price (EUR/t_CO2),volume (t)
29.01.2021,t3pa,33.51,2651000
0.066446759,t3pa,32.66,3288500
0.108113426,t3pa,33.2,3288500
0.149780093,t3pa,38,2575000
0.191446759,t3pa,36.51,3288500
0.233113426,t3pa,37.61,2651000
0.358113426,t3pa,38.62,3288500
0.399780093,t3pa,37.58,3288500
0.441446759,t3pa,37.7,2575000
0.483113426,t3pa,39.62,3288500
0.524780093,t3pa,37.8,2651000
0.649780093,t3pa,39.82,3288500
0.691446759,t3pa,40.19,3288500
0.733113426,t3pa,38.42,2575000
0.774780093,t3pa,38.01,3288500
0.816446759,t3pa,38.36,2651000
0.941446759,t3pa,36.84,3288500
0.983113426,t3pa,37.5,3288500
24.02.2021,t3pa,38.42,2575000
25.02.2021,t3pa,38.88,3288500
26.02.2021,t3pa,37.51,2651000
0.067141204,t3pa,37.66,3288500
0.10880787,t3pa,37.25,3288500
0.150474537,t3pa,37.56,2575000
0.192141204,t3pa,36.9,3288500
0.23380787,t3pa,38.08,2651000
0.35880787,t3pa,38.41,3288500
0.400474537,t3pa,39.4,3288500
0.442141204,t3pa,41,2575000
0.48380787,t3pa,40.92,3288500
0.525474537,t3pa,41.52,2651000
0.650474537,t3pa,42.84,3288500
0.692141204,t3pa,41.92,3288500
0.73380787,t3pa,41.52,2575000
0.775474537,t3pa,43.35,3288500
0.817141204,t3pa,41.91,2651000
0.942141204,t3pa,41.8,3288500
0.98380787,t3pa,41.77,3288500
24.03.2021,t3pa,40.94,2575000
25.03.2021,t3pa,40.69,3290000
26.03.2021,t3pa,40.86,2651000
29.03.2021,t3pa,40.71,3288500
30.03.2021,t3pa,42.25,3288500
31.03.2021,t3pa,42.26,2575000
0.067835648,t3pa,42.04,3288500
0.276168981,t3pa,43.05,3288500
0.317835648,t3pa,43.63,2575000
0.359502315,t3pa,43.45,3288500
0.401168981,t3pa,43.18,2651000
0.526168981,t3pa,43.86,3288500
0.567835648,t3pa,44.1,3288500
0.609502315,t3pa,43.9,2575000
0.651168981,t3pa,43.99,3288500
0.692835648,t3pa,44.5,2651000
0.817835648,t3pa,44.66,3288500
0.859502315,t3pa,44.2,3288500
0.901168981,t3pa,44.85,2575000
0.942835648,t3pa,46.6,3288500
0.984502315,t3pa,46.41,2651000
26.04.2021,t3pa,47.24,3288500
27.04.2021,t3pa,46.55,3288500
28.04.2021,t3pa,48,2575000
29.04.2021,t3pa,47.25,3288500
30.04.2021,t3pa,47.68,2651000
0.193530093,t3pa,49.33,3288500
0.235196759,t3pa,48.62,2575000
